Título,Descripción,URL,ID Video,Fecha Publicación,Duración (segundos),Vistas,Likes,Comentarios,Miniatura,Canal,Suscriptores Canal
PREDIJO PRESENTE I FUTURO? #curiosidades #datoscuriosos #historia,Un gran conocedor,https://www.youtube.com/watch?v=1pk1vsJwxV4,1pk1vsJwxV4,2025-08-27,50,359,1,,https://i.ytimg.com/vi/1pk1vsJwxV4/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYUCBXKGUwDw==&rs=AOn4CLBPlxHe3qqbEZHaDmQaDHlaMw5RLg,curious universe,26
Destrucción total #datohistorico #curiosidades #curiosidadeshistoricas,Increible,https://www.youtube.com/watch?v=9oesLCnGzag,9oesLCnGzag,2025-08-27,43,174,9,,https://i.ytimg.com/vi/9oesLCnGzag/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYKyA-KH8wDw==&rs=AOn4CLDpXbwNG-sNsYbTdwwwPEiiJgeRgA,curious universe,26
SALVO toda una CIUDAD #datohistorico #ww2  #historia,,https://www.youtube.com/watch?v=v3uxwwWaG_Q,v3uxwwWaG_Q,2025-08-26,46,666,16,,https://i.ytimg.com/vi/v3uxwwWaG_Q/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYfyA8KCEwDw==&rs=AOn4CLB76w0F2ioibW7rpOo0vw8yNpGhzQ,curious universe,26
COMO los ríos dan SAL #datos #datocurioso #mar,,https://www.youtube.com/watch?v=pR-1azL4pPQ,pR-1azL4pPQ,2025-08-26,32,757,10,,https://i.ytimg.com/vi/pR-1azL4pPQ/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYPyBVKGUwDw==&rs=AOn4CLAxGrbubE0z2n9vjpQyj3mxkHjmFQ,curious universe,26
Lector de disco  #curiosidades #historia #datoscuriosos,ingenieria y ciencia,https://www.youtube.com/watch?v=-eCskbeB5i8,-eCskbeB5i8,2025-08-25,47,852,12,,https://i.ytimg.com/vi/-eCskbeB5i8/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYLiBlKEgwDw==&rs=AOn4CLDNtvBKG5nowTSPdmnMAWZv5KMzTw,curious universe,26
Es CASI MAGIA  #curiosidades #física  #viral,Secretos del agua,https://www.youtube.com/watch?v=XrnCl9mNa3o,XrnCl9mNa3o,2025-08-24,48,870,6,,https://i.ytimg.com/vi/XrnCl9mNa3o/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYDyBlKGAwDw==&rs=AOn4CLCkHFK8cRXN6bgqlfQidFvYgG8Cbw,curious universe,26
LITERALEMNTE está CAMBIANDO  #curiosidades #cerebro #sueños,Como se adapta el cerebro,https://www.youtube.com/watch?v=B3Is0cH-Gmo,B3Is0cH-Gmo,2025-08-24,56,1162,16,,https://i.ytimg.com/vi/B3Is0cH-Gmo/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYPyBVKGUwDw==&rs=AOn4CLAkfq6hdrnQVXaYS5sLSfLDcEsv_g,curious universe,26
CÓMO NO se CAEN?  #curiosidades #datoscuriosos,la ingeniería,https://www.youtube.com/watch?v=AB0YEqrYEwk,AB0YEqrYEwk,2025-08-23,50,1484,14,,https://i.ytimg.com/vi/AB0YEqrYEwk/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYQiBZKHIwDw==&rs=AOn4CLA3owzCzU70SUVBhfcrIpqfFlsIkg,curious universe,27
RECHAZÓ la PRESIDENCIA #curiosidades #historia #datoscuriosos,Como sería todo actualmente?,https://www.youtube.com/watch?v=pm1udkJV0v4,pm1udkJV0v4,2025-08-22,54,1079,13,,https://i.ytimg.com/vi/pm1udkJV0v4/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBlKGUwDw==&rs=AOn4CLD9M2BdYLFhm5Pdb2witSQUNUsfWQ,curious universe,27
REVOLUCIÓN ATÓMICA!!! #oppenheimer #ciencia #curiosidades #astronomia #automobile,sobre el grafeno,https://www.youtube.com/watch?v=rP7BKzfOhh8,rP7BKzfOhh8,2025-08-20,46,1292,23,1.0,https://i.ytimg.com/vi/rP7BKzfOhh8/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBfKDswDw==&rs=AOn4CLC1P_1eSOqjjCHWOwqaPEEpTBAIGA,curious universe,27
Como PageRank te CONTROLA!!! #tecnologia #google #curiosidades,PageRank de google,https://www.youtube.com/watch?v=HFoLMsQYzrI,HFoLMsQYzrI,2025-08-19,54,1318,47,,https://i.ytimg.com/vi/HFoLMsQYzrI/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBlKGUwDw==&rs=AOn4CLDIHkj7J1Rn7zdS2kggozT8ZboBGQ,curious universe,27
El ORIGEN de los ROBOT  #historia #inteligenciaartificial #tecnologia,No Sabias este origen,https://www.youtube.com/watch?v=RzPI6szEQa4,RzPI6szEQa4,2025-08-18,53,1005,41,,https://i.ytimg.com/vi/RzPI6szEQa4/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBiKEswDw==&rs=AOn4CLDaAvKi9n14voGLfFQ7BVFCPsuI1g,curious universe,27
